Draw id, Number of Tiers, apr, Total Yield Amount Out (usd), Total Liquidation Amount In (usd), Total Contrib (usd), Hook contrib (usd), POOL Vault Contrib. (usd), Start Draw Reward, Finish Draw Reward, tier0LiquidityRemaining, tier1LiquidityRemaining, tier2LiquidityRemaining, tier3LiquidityRemaining, tier4LiquidityRemaining, tier5LiquidityRemaining, tier6LiquidityRemaining, tier7LiquidityRemaining, tier8LiquidityRemaining, tier9LiquidityRemaining, tier10LiquidityRemaining, tier0PrizeSizes, tier1PrizeSizes, tier2PrizeSizes, tier3PrizeSizes, tier4PrizeSizes, tier5PrizeSizes, tier6PrizeSizes, tier7PrizeSizes, tier8PrizeSizes, tier9PrizeSizes, tier10PrizeSizes, tier0PrizeSizesUsd, tier1PrizeSizesUsd, tier2PrizeSizesUsd, tier3PrizeSizesUsd, tier4PrizeSizesUsd, tier5PrizeSizesUsd, tier6PrizeSizesUsd, tier7PrizeSizesUsd, tier8PrizeSizesUsd, tier9PrizeSizesUsd, tier10PrizeSizesUsd, tier0ClaimedPrizes, tier1ClaimedPrizes, tier2ClaimedPrizes, tier3ClaimedPrizes, tier4ClaimedPrizes, tier5ClaimedPrizes, tier6ClaimedPrizes, tier7ClaimedPrizes, tier8ClaimedPrizes, tier9ClaimedPrizes, tier10ClaimedPrizes, tier0ComputedPrizes, tier1ComputedPrizes, tier2ComputedPrizes, tier3ComputedPrizes, tier4ComputedPrizes, tier5ComputedPrizes, tier6ComputedPrizes, tier7ComputedPrizes, tier8ComputedPrizes, tier9ComputedPrizes, tier10ComputedPrizes
31,6,100000000000000000,$1105.366 USD,$999.886 USD,$1582.888 USD, $481.433 USD, $101.568 USD,189165984632038,8011218087096,19415433475024054400,11478194002066040500,2565529390059489600,263308405847739800,4437444164705092,4437444164705092,0,0,0,0,0,9707716737512027200,1434774250258255062,80172793439359050,2057096920685467,8666883134189,2166720783547,0,0,0,0,0,$32035.465 USD,$4734.755 USD,$264.570 USD,$6.788 USD,$0.028 USD,$0.007 USD,,,,,,0,0,1,45,186,0,0,0,0,0,0,0,0,1,45,186,699,0,0,0,0,0
32,6,100000000000000000,$1105.669 USD,$999.886 USD,$1251.377 USD, $142.315 USD, $109.176 USD,112616862601074,4769347133612,19503492125520617500,11566252652562603600,2573415247116693600,215598659579059900,3522346019862524,3522346019862524,0,0,0,0,0,9751746062760308750,1445781581570325450,80419226472396675,1684364527961405,6879582070043,1719895517510,0,0,0,0,0,$32180.762 USD,$4771.079 USD,$265.383 USD,$5.558 USD,$0.022 USD,$0.005 USD,,,,,,0,0,0,48,238,0,0,0,0,0,0,0,0,0,48,238,913,0,0,0,0,0
33,6,100000000000000000,$1105.972 USD,$999.886 USD,$1125.483 USD, $38.806 USD, $86.790 USD,75819695816921,4281306139108,19582539850588787600,11645300377630773700,2652462972184863700,202006335609347500,3161909002726804,3161909002726804,0,0,0,0,0,9791269925294393800,1455662547203846712,82889467880776990,1578174496948027,6175603520950,1543900880237,0,0,0,0,0,$32311.190 USD,$4803.686 USD,$273.535 USD,$5.207 USD,$0.020 USD,$0.005 USD,,,,,,0,0,2,52,263,0,0,0,0,0,0,0,0,2,52,263,988,0,0,0,0,0
34,6,100000000000000000,$1106.275 USD,$999.886 USD,$5902.341 USD, $4824.461 USD, $77.992 USD,294523105014485,16630818206559,19991956448401402100,10599054428239541400,2896100634235924200,523045161592868400,16376663912504580,16376663912504580,0,0,0,0,0,9995978224200701050,1324881803529942675,90503144819872631,4086290324944284,31985671704110,7996417926027,0,0,0,0,0,$32986.728 USD,$4372.109 USD,$298.660 USD,$13.484 USD,$0.105 USD,$0.026 USD,,,,,,0,0,0,11,43,198,0,0,0,0,0,0,0,0,11,43,198,0,0,0,0,0
35,6,100000000000000000,$1106.578 USD,$999.886 USD,$2118.227 USD, $714.045 USD, $404.295 USD,66012722987957,3727536402548,20114308838860979500,10721406818699118800,3018453024695501600,383874971256010600,122352390459577400,4894095618383096,0,0,0,0,0,10057154419430489750,1340175852337389850,94326657021734425,2999023212937582,238969512616362,2389695126163,0,0,0,0,0,$33188.609 USD,$4422.580 USD,$311.277 USD,$9.896 USD,$0.788 USD,$0.007 USD,,,,,,0,0,0,3,165,0,0,0,0,0,0,0,0,0,3,165,665,0,0,0,0,0
36,7,100000000000000000,$1106.882 USD,$999.886 USD,$1225.547 USD, $104.762 USD, $120.898 USD,41020429102904,307177527365071,20215682176832658100,10822780156670797400,3119826362667180200,464255146737126000,4054933518867144,4054933518867144,0,0,0,0,0,10107841088416329050,1352847519583849675,97494573833349381,3626993333883796,7919792029037,1979948007259,0,0,0,0,0,$33355.875 USD,$4464.396 USD,$321.732 USD,$11.969 USD,$0.026 USD,$0.006 USD,$0.000 USD,,,,,0,0,0,63,224,0,0,0,0,0,0,0,0,0,63,224,918,0,0,0,0,0
37,6,100000000000000000,$1107.185 USD,$999.886 USD,$1146.932 USD, $47.835 USD, $99.210 USD,24507003087543,183518329188480,20296434028564383400,10903532008402522700,3200578214398905500,301998445098636700,3230074069269012,3230074069269012,0,0,0,0,0,10148217014282191700,1362941501050315337,100018069199965796,2359362852333099,6308738416541,1577184604135,0,0,0,0,0,$33489.116 USD,$4497.706 USD,$330.059 USD,$7.785 USD,$0.020 USD,$0.005 USD,,,,,,0,0,1,71,241,0,0,0,0,0,0,0,0,1,71,241,961,0,0,0,0,0
38,6,100000000000000000,$1107.488 USD,$999.886 USD,$1448.055 USD, $368.910 USD, $79.257 USD,23057294661699,172662327450082,20397734011169637200,11004831991007776500,3101842058604227700,223986850926574900,4051999304210152,4051999304210152,0,0,0,0,0,10198867005584818600,1375603998875972062,96932564331382115,1749897272863866,7914061141035,1978515285258,0,0,0,0,0,$33656.261 USD,$4539.493 USD,$319.877 USD,$5.774 USD,$0.026 USD,$0.006 USD,,,,,,0,0,2,53,201,0,0,0,0,0,0,0,0,2,53,201,710,0,0,0,0,0
39,6,100000000000000000,$1107.792 USD,$999.886 USD,$1197.522 USD, $97.995 USD, $99.641 USD,14377892044164,107667457982185,20481957839121912600,11089055818960051900,2992200757893738700,185717869778377300,3368953118091016,3368953118091016,0,0,0,0,0,10240978919560956300,1386131977370006487,93506273684179334,1450920857643572,6579986558771,1644996639692,0,0,0,0,0,$33795.230 USD,$4574.235 USD,$308.570 USD,$4.788 USD,$0.021 USD,$0.005 USD,,,,,,0,1,0,55,269,0,0,0,0,0,0,0,1,0,55,269,944,0,0,0,0,0
40,6,100000000000000000,$1108.095 USD,$999.886 USD,$1116.298 USD, $33.432 USD, $82.978 USD,10029104018726,75101978246758,20560290094299420100,9781256096767552900,3070533013071246200,174093031781981600,3133290207100300,3133290207100300,0,0,0,0,0,10280145047149710050,1222657012095944112,95954156658476443,1360101810796731,6119707435742,1529926858935,0,0,0,0,0,$33924.478 USD,$4034.768 USD,$316.648 USD,$4.488 USD,$0.020 USD,$0.005 USD,,,,,,0,0,1,59,248,0,0,0,0,0,0,0,0,1,59,248,987,0,0,0,0,0
